,miRNA,70459-genome-miRNAcount,miRNA,70460-genome-miRNAcount,miRNA,70461-genome-miRNAcount,miRNA,74665-genome-miRNAcount,miRNA,74666-genome-miRNAcount,miRNA,74667-genome-miRNAcount,miRNA,74668-genome-miRNAcount,miRNA,74669-genome-miRNAcount,miRNA,74670-genome-miRNAcount,miRNA,74671-genome-miRNAcount,miRNA,74672-genome-miRNAcount,miRNA,74673-genome-miRNAcount,miRNA,74674-genome-miRNAcount,miRNA,74675-genome-miRNAcount,miRNA,74676-genome-miRNAcount,miRNA,74677-genome-miRNAcount,miRNA,74678-genome-miRNAcount,miRNA,74679-genome-miRNAcount,miRNA,74680-genome-miRNAcount,miRNA,74681-genome-miRNAcount,miRNA,74682-genome-miRNAcount
10,hsa-let-7c-5p,7,       0,hsa-miR-1-3p,hsa-let-7d-3p,2,hsa-let-7d-3p,4,hsa-let-7d-3p,5,hsa-let-7c-5p,103,hsa-let-7d-3p,15,hsa-let-7d-3p,4,hsa-let-7d-3p,14,hsa-let-7d-3p,43,hsa-let-7d-5p,2,hsa-let-7d-3p,3,hsa-let-7d-3p,5,hsa-let-7c-5p,82,hsa-let-7d-3p,7,hsa-let-7d-3p,152,hsa-let-7d-3p,12,hsa-let-7d-3p,16,hsa-let-7d-3p,32,hsa-let-7d-3p,7,hsa-let-7d-3p,12
11,hsa-let-7d-3p,0,       0,hsa-miR-100-3p,hsa-let-7d-5p,7,hsa-let-7d-3p,23,hsa-let-7d-5p,4,hsa-let-7d-3p,13,hsa-let-7d-5p,41,hsa-let-7d-5p,8,hsa-let-7d-5p,175,hsa-let-7d-3p,162,hsa-let-7d-5p,8,hsa-let-7d-3p,24,hsa-let-7d-3p,14,hsa-let-7d-3p,12,hsa-let-7d-5p,5,hsa-let-7d-3p,808,hsa-let-7d-5p,48,hsa-let-7d-3p,52,hsa-let-7d-5p,126,hsa-let-7d-5p,28,hsa-let-7d-5p,26
12,hsa-let-7d-5p,0,       0,hsa-miR-100-5p,hsa-let-7d-5p,24,hsa-let-7d-5p,49,hsa-let-7d-5p,16,hsa-let-7d-3p,101,hsa-let-7d-5p,229,hsa-let-7d-5p,39,hsa-let-7d-5p,617,hsa-let-7d-5p,438,hsa-let-7e-3p,0,hsa-let-7d-5p,42,hsa-let-7d-5p,47,hsa-let-7d-3p,154,hsa-let-7d-5p,38,hsa-let-7d-5p,286,hsa-let-7d-5p,223,hsa-let-7d-5p,124,hsa-let-7d-5p,472,hsa-let-7d-5p,103,hsa-let-7d-5p,72
13,hsa-let-7d-5p,1,       0,hsa-miR-101-2-5p,hsa-let-7e-3p,0,hsa-let-7d-5p,387,hsa-let-7e-3p,0,hsa-let-7d-5p,230,hsa-let-7e-3p,0,hsa-let-7e-3p,0,hsa-let-7e-3p,0,hsa-let-7d-5p,2613,hsa-let-7e-5p,0,hsa-let-7d-5p,336,hsa-let-7d-5p,157,hsa-let-7d-5p,153,hsa-let-7e-3p,0,hsa-let-7d-5p,1642,hsa-let-7e-3p,0,hsa-let-7d-5p,566,hsa-let-7e-3p,0,hsa-let-7e-3p,0,hsa-let-7e-3p,0
14,hsa-let-7d-5p,4,       0,hsa-miR-101-3p,hsa-let-7e-5p,3,hsa-let-7e-3p,0,hsa-let-7e-5p,0,hsa-let-7d-5p,1546,hsa-let-7e-5p,1,hsa-let-7e-5p,0,hsa-let-7e-3p,1,hsa-let-7e-3p,0,hsa-let-7f-1-3p,0,hsa-let-7e-3p,0,hsa-let-7e-3p,0,hsa-let-7d-5p,2150,hsa-let-7e-5p,0,hsa-let-7e-3p,0,hsa-let-7e-5p,0,hsa-let-7e-3p,0,hsa-let-7e-5p,6,hsa-let-7e-5p,1,hsa-let-7e-5p,11
15,hsa-let-7e-3p,0,       0,hsa-miR-101-5p,hsa-let-7e-5p,4,hsa-let-7e-5p,2,hsa-let-7f-1-3p,0,hsa-let-7e-3p,0,hsa-let-7e-5p,5,hsa-let-7f-1-3p,0,hsa-let-7e-5p,9,hsa-let-7e-5p,54,hsa-let-7f-2-3p,0,hsa-let-7e-5p,1,hsa-let-7e-5p,1,hsa-let-7e-3p,0,hsa-let-7e-5p,2,hsa-let-7e-5p,61,hsa-let-7e-5p,11,hsa-let-7e-3p,1,hsa-let-7e-5p,26,hsa-let-7e-5p,4,hsa-let-7e-5p,24
16,hsa-let-7e-5p,0,       0,hsa-miR-10226,hsa-let-7f-1-3p,0,hsa-let-7e-5p,3,hsa-let-7f-2-3p,0,hsa-let-7e-5p,19,hsa-let-7f-1-3p,0,hsa-let-7f-2-3p,0,hsa-let-7e-5p,23,hsa-let-7e-5p,188,hsa-let-7f-5p,1,hsa-let-7e-5p,9,hsa-let-7e-5p,4,hsa-let-7e-3p,1,hsa-let-7f-1-3p,0,hsa-let-7e-5p,211,hsa-let-7f-1-3p,0,hsa-let-7e-5p,3,hsa-let-7f-1-3p,0,hsa-let-7f-1-3p,0,hsa-let-7f-1-3p,0
17,hsa-let-7e-5p,1,       0,hsa-miR-10392-3p,hsa-let-7f-2-3p,0,hsa-let-7f-1-3p,1,hsa-let-7f-5p,6,hsa-let-7e-5p,49,hsa-let-7f-2-3p,0,hsa-let-7f-5p,13,hsa-let-7f-1-3p,0,hsa-let-7f-1-3p,0,hsa-let-7f-5p,5,hsa-let-7f-1-3p,0,hsa-let-7f-1-3p,0,hsa-let-7e-5p,11,hsa-let-7f-2-3p,0,hsa-let-7f-1-3p,1,hsa-let-7f-2-3p,0,hsa-let-7e-5p,14,hsa-let-7f-2-3p,0,hsa-let-7f-2-3p,0,hsa-let-7f-2-3p,0
18,hsa-let-7f-1-3p,0,       0,hsa-miR-10392-5p,hsa-let-7f-5p,18,hsa-let-7f-2-3p,0,hsa-let-7f-5p,16,hsa-let-7f-1-3p,2,hsa-let-7f-5p,44,hsa-let-7f-5p,73,hsa-let-7f-2-3p,0,hsa-let-7f-1-3p,1,hsa-let-7g-3p,0,hsa-let-7f-1-3p,2,hsa-let-7f-2-3p,0,hsa-let-7e-5p,57,hsa-let-7f-5p,7,hsa-let-7f-2-3p,0,hsa-let-7f-5p,26,hsa-let-7f-1-3p,0,hsa-let-7f-5p,104,hsa-let-7f-5p,23,hsa-let-7f-5p,293
19,hsa-let-7f-2-3p,0,       0,hsa-miR-10393-3p,hsa-let-7f-5p,80,hsa-let-7f-5p,41,hsa-let-7g-3p,0,hsa-let-7f-1-3p,3,hsa-let-7f-5p,182,hsa-let-7g-3p,0,hsa-let-7f-5p,84,hsa-let-7f-2-3p,0,hsa-let-7g-5p,0,hsa-let-7f-2-3p,0,hsa-let-7f-5p,26,hsa-let-7f-1-3p,0,hsa-let-7f-5p,37,hsa-let-7f-5p,935,hsa-let-7f-5p,151,hsa-let-7f-2-3p,0,hsa-let-7f-5p,355,hsa-let-7f-5p,66,hsa-let-7f-5p,858
20,hsa-let-7f-5p,0,       0,hsa-miR-10393-5p,hsa-let-7g-3p,0,hsa-let-7f-5p,242,hsa-let-7g-5p,0,hsa-let-7f-2-3p,0,hsa-let-7g-3p,0,hsa-let-7g-5p,0,hsa-let-7f-5p,328,hsa-let-7f-5p,907,hsa-let-7i-3p,0,hsa-let-7f-5p,37,hsa-let-7f-5p,113,hsa-let-7f-1-3p,2,hsa-let-7g-3p,0,hsa-let-7f-5p,6851,hsa-let-7g-3p,0,hsa-let-7f-5p,62,hsa-let-7g-3p,0,hsa-let-7g-3p,0,hsa-let-7g-3p,0
21,hsa-let-7f-5p,3,       0,hsa-miR-10394-3p,hsa-let-7g-5p,0,hsa-let-7g-3p,0,hsa-let-7i-3p,1,hsa-let-7f-5p,373,hsa-let-7g-5p,0,hsa-let-7i-3p,2,hsa-let-7g-3p,0,hsa-let-7f-5p,5621,hsa-let-7i-5p,47,hsa-let-7f-5p,288,hsa-let-7g-3p,0,hsa-let-7f-2-3p,0,hsa-let-7g-5p,0,hsa-let-7g-3p,0,hsa-let-7g-5p,0,hsa-let-7f-5p,243,hsa-let-7g-5p,0,hsa-let-7g-5p,0,hsa-let-7g-5p,0
22,hsa-let-7f-5p,27,       0,hsa-miR-10394-5p,hsa-let-7i-3p,1,hsa-let-7g-5p,0,hsa-let-7i-3p,5,hsa-let-7f-5p,2392,hsa-let-7i-3p,1,hsa-let-7i-3p,3,hsa-let-7g-5p,0,hsa-let-7g-3p,0,hsa-let-7i-5p,135,hsa-let-7g-3p,0,hsa-let-7g-5p,0,hsa-let-7f-5p,302,hsa-let-7i-3p,1,hsa-let-7g-5p,0,hsa-let-7i-3p,1,hsa-let-7g-3p,0,hsa-let-7i-3p,10,hsa-let-7i-3p,1,hsa-let-7i-3p,0
23,hsa-let-7g-3p,0,       0,hsa-miR-10395-3p,hsa-let-7i-3p,2,hsa-let-7i-3p,5,hsa-let-7i-5p,157,hsa-let-7g-3p,0,hsa-let-7i-3p,6,hsa-let-7i-5p,339,hsa-let-7i-3p,4,hsa-let-7g-5p,0,hsa-miR-1-3p,0,hsa-let-7g-5p,0,hsa-let-7i-3p,2,hsa-let-7f-5p,3630,hsa-let-7i-3p,6,hsa-let-7i-3p,12,hsa-let-7i-3p,9,hsa-let-7g-5p,0,hsa-let-7i-3p,21,hsa-let-7i-3p,7,hsa-let-7i-5p,1050
24,hsa-let-7g-5p,0,       0,hsa-miR-10395-5p,hsa-let-7i-5p,906,hsa-let-7i-3p,24,hsa-let-7i-5p,553,hsa-let-7g-5p,0,hsa-let-7i-5p,741,hsa-let-7i-5p,1297,hsa-let-7i-3p,10,hsa-let-7i-3p,5,hsa-miR-1-5p,0,hsa-let-7i-3p,3,hsa-let-7i-3p,10,hsa-let-7g-3p,0,hsa-let-7i-5p,325,hsa-let-7i-3p,96,hsa-let-7i-5p,1420,hsa-let-7i-3p,11,hsa-let-7i-5p,1532,hsa-let-7i-5p,654,hsa-let-7i-5p,3028
25,hsa-let-7i-3p,0,       0,hsa-miR-10396a-3p,hsa-let-7i-5p,2064,hsa-let-7i-5p,1856,hsa-miR-1-3p,0,hsa-let-7i-3p,6,hsa-let-7i-5p,2613,hsa-miR-1-3p,0,hsa-let-7i-5p,1687,hsa-let-7i-3p,39,hsa-miR-100-3p,0,hsa-let-7i-3p,22,hsa-let-7i-5p,1058,hsa-let-7g-5p,0,hsa-let-7i-5p,1327,hsa-let-7i-5p,12211,hsa-let-7i-5p,5002,hsa-let-7i-3p,38,hsa-let-7i-5p,4117,hsa-let-7i-5p,1858,hsa-miR-1-3p,0
26,hsa-let-7i-3p,1,       0,hsa-miR-10396a-5p,hsa-miR-1-3p,7,hsa-let-7i-5p,7385,hsa-miR-1-5p,0,hsa-let-7i-3p,32,hsa-miR-1-3p,1,hsa-miR-1-5p,0,hsa-let-7i-5p,4878,hsa-let-7i-5p,11099,hsa-miR-100-5p,0,hsa-let-7i-5p,1684,hsa-let-7i-5p,3017,hsa-let-7i-3p,0,hsa-miR-1-3p,0,hsa-let-7i-5p,56468,hsa-miR-1-3p,0,hsa-let-7i-5p,2990,hsa-miR-1-3p,0,hsa-miR-1-3p,0,hsa-miR-1-5p,0
27,hsa-let-7i-3p,3,       0,hsa-miR-10396b-3p,hsa-miR-1-5p,0,hsa-miR-1-3p,0,hsa-miR-100-3p,0,hsa-let-7i-5p,6782,hsa-miR-1-3p,4,hsa-miR-100-3p,0,hsa-miR-1-3p,0,hsa-let-7i-5p,50731,hsa-miR-101-2-5p,0,hsa-let-7i-5p,7953,hsa-miR-1-3p,0,hsa-let-7i-3p,28,hsa-miR-1-5p,0,hsa-miR-1-3p,6,hsa-miR-1-3p,2,hsa-let-7i-5p,9621,hsa-miR-1-3p,2,hsa-miR-1-5p,0,hsa-miR-100-3p,0
28,hsa-let-7i-5p,0,       0,hsa-miR-10396b-5p,hsa-miR-100-3p,0,hsa-miR-1-5p,0,hsa-miR-100-5p,0,hsa-let-7i-5p,29932,hsa-miR-1-5p,0,hsa-miR-100-5p,0,hsa-miR-1-5p,0,hsa-miR-1-3p,14,hsa-miR-101-3p,126,hsa-miR-1-3p,0,hsa-miR-1-5p,0,hsa-let-7i-5p,3011,hsa-miR-100-3p,0,hsa-miR-1-3p,39,hsa-miR-1-5p,0,hsa-miR-1-3p,0,hsa-miR-1-5p,0,hsa-miR-100-3p,0,hsa-miR-100-5p,0
29,hsa-let-7i-5p,127,       0,hsa-miR-10397-3p,hsa-miR-100-5p,0,hsa-miR-100-3p,0,hsa-miR-101-2-5p,0,hsa-miR-1-3p,4,hsa-miR-100-3p,0,hsa-miR-101-2-5p,0,hsa-miR-100-3p,0,hsa-miR-1-3p,41,hsa-miR-101-3p,135,hsa-miR-1-5p,0,hsa-miR-100-3p,0,hsa-let-7i-5p,24405,hsa-miR-100-5p,0,hsa-miR-1-5p,0,hsa-miR-100-3p,0,hsa-miR-1-3p,2,hsa-miR-100-3p,0,hsa-miR-100-5p,0,hsa-miR-101-2-5p,0
30,hsa-let-7i-5p,338,       0,hsa-miR-10397-5p,hsa-miR-101-2-5p,0,hsa-miR-100-5p,0,hsa-miR-101-2-5p,2,hsa-miR-1-3p,16,hsa-miR-100-5p,0,hsa-miR-101-3p,485,hsa-miR-100-5p,0,hsa-miR-1-5p,0,hsa-miR-101-5p,0,hsa-miR-100-3p,0,hsa-miR-100-5p,0,hsa-miR-1-3p,3,hsa-miR-101-2-5p,0,hsa-miR-100-3p,0,hsa-miR-100-5p,0,hsa-miR-1-5p,0,hsa-miR-100-5p,0,hsa-miR-101-2-5p,0,hsa-miR-101-3p,1466
31,hsa-miR-1-3p,0,       0,hsa-miR-10398-3p,hsa-miR-101-3p,860,hsa-miR-101-2-5p,1,hsa-miR-101-3p,639,hsa-miR-1-5p,0,hsa-miR-101-2-5p,1,hsa-miR-101-3p,533,hsa-miR-101-2-5p,0,hsa-miR-100-3p,0,hsa-miR-10226,0,hsa-miR-100-5p,0,hsa-miR-101-2-5p,0,hsa-miR-1-3p,18,hsa-miR-101-3p,279,hsa-miR-100-5p,0,hsa-miR-101-2-5p,1,hsa-miR-100-3p,0,hsa-miR-101-2-5p,2,hsa-miR-101-3p,702,hsa-miR-101-3p,1623
32,hsa-miR-1-3p,6,       0,hsa-miR-10398-5p,hsa-miR-101-3p,934,hsa-miR-101-3p,7434,hsa-miR-101-3p,714,hsa-miR-100-3p,0,hsa-miR-101-2-5p,2,hsa-miR-101-5p,0,hsa-miR-101-3p,4828,hsa-miR-100-5p,0,hsa-miR-10392-3p,0,hsa-miR-101-2-5p,0,hsa-miR-101-3p,1461,hsa-miR-1-5p,0,hsa-miR-101-3p,321,hsa-miR-101-2-5p,3,hsa-miR-101-3p,1928,hsa-miR-100-5p,0,hsa-miR-101-3p,6400,hsa-miR-101-3p,807,hsa-miR-101-5p,0
33,hsa-miR-1-5p,0,       0,hsa-miR-10399-3p,hsa-miR-101-5p,0,hsa-miR-101-3p,8259,hsa-miR-101-5p,0,hsa-miR-100-5p,0,hsa-miR-101-3p,2218,hsa-miR-10226,0,hsa-miR-101-3p,5175,hsa-miR-101-2-5p,0,hsa-miR-10392-5p,0,hsa-miR-101-2-5p,1,hsa-miR-101-3p,1615,hsa-miR-100-3p,0,hsa-miR-101-5p,0,hsa-miR-101-2-5p,10,hsa-miR-101-3p,2141,hsa-miR-101-2-5p,0,hsa-miR-101-3p,7047,hsa-miR-101-5p,0,hsa-miR-10226,0
34,hsa-miR-100-3p,0,       0,hsa-miR-10399-5p,hsa-miR-10226,0,hsa-miR-101-5p,0,hsa-miR-10226,0,hsa-miR-101-2-5p,0,hsa-miR-101-3p,2456,hsa-miR-10392-3p,0,hsa-miR-101-5p,0,hsa-miR-101-2-5p,4,hsa-miR-10393-3p,0,hsa-miR-101-3p,3726,hsa-miR-101-5p,0,hsa-miR-100-5p,0,hsa-miR-10226,0,hsa-miR-101-3p,26454,hsa-miR-101-5p,0,hsa-miR-101-2-5p,3,hsa-miR-101-5p,0,hsa-miR-10226,0,hsa-miR-10392-3p,0
35,hsa-miR-100-5p,0,       0,hsa-miR-103a-2-5p,hsa-miR-10392-3p,0,hsa-miR-10226,0,hsa-miR-10392-3p,0,hsa-miR-101-2-5p,3,hsa-miR-101-5p,0,hsa-miR-10392-5p,0,hsa-miR-10226,0,hsa-miR-101-3p,12184,hsa-miR-10393-5p,0,hsa-miR-101-3p,4192,hsa-miR-10226,0,hsa-miR-101-2-5p,0,hsa-miR-10392-3p,0,hsa-miR-101-3p,29584,hsa-miR-10226,0,hsa-miR-101-3p,6075,hsa-miR-10226,0,hsa-miR-10392-3p,0,hsa-miR-10392-5p,0
36,hsa-miR-101-2-5p,0,       0,hsa-miR-103a-3p,hsa-miR-10392-5p,0,hsa-miR-10392-3p,0,hsa-miR-10392-5p,0,hsa-miR-101-3p,19553,hsa-miR-10226,0,hsa-miR-10393-3p,0,hsa-miR-10392-3p,0,hsa-miR-101-3p,13383,hsa-miR-10394-3p,0,hsa-miR-101-5p,0,hsa-miR-10392-3p,0,hsa-miR-101-2-5p,5,hsa-miR-10392-5p,0,hsa-miR-101-5p,0,hsa-miR-10392-3p,0,hsa-miR-101-3p,6780,hsa-miR-10392-3p,0,hsa-miR-10392-5p,0,hsa-miR-10393-3p,0
37,hsa-miR-101-3p,0,       0,hsa-miR-103b,hsa-miR-10393-3p,0,hsa-miR-10392-5p,0,hsa-miR-10393-3p,0,hsa-miR-101-3p,21934,hsa-miR-10392-3p,0,hsa-miR-10393-5p,0,hsa-miR-10392-5p,0,hsa-miR-101-5p,0,hsa-miR-10394-5p,0,hsa-miR-10226,0,hsa-miR-10392-5p,0,hsa-miR-101-3p,16734,hsa-miR-10393-3p,0,hsa-miR-10226,0,hsa-miR-10392-5p,0,hsa-miR-101-5p,0,hsa-miR-10392-5p,0,hsa-miR-10393-3p,0,hsa-miR-10393-5p,0
38,hsa-miR-101-3p,88,       0,hsa-miR-10400-3p,hsa-miR-10393-5p,0,hsa-miR-10393-3p,0,hsa-miR-10393-5p,0,hsa-miR-101-5p,0,hsa-miR-10392-5p,0,hsa-miR-10394-3p,0,hsa-miR-10393-3p,0,hsa-miR-10226,0,hsa-miR-10395-3p,0,hsa-miR-10392-3p,0,hsa-miR-10393-3p,0,hsa-miR-101-3p,18723,hsa-miR-10393-5p,0,hsa-miR-10392-3p,0,hsa-miR-10393-3p,0,hsa-miR-10226,0,hsa-miR-10393-3p,0,hsa-miR-10393-5p,0,hsa-miR-10394-3p,0
39,hsa-miR-101-5p,0,       0,hsa-miR-10400-5p,hsa-miR-10394-3p,0,hsa-miR-10393-5p,0,hsa-miR-10394-3p,0,hsa-miR-10226,0,hsa-miR-10393-3p,0,hsa-miR-10394-5p,0,hsa-miR-10393-5p,0,hsa-miR-10392-3p,0,hsa-miR-10395-5p,0,hsa-miR-10392-5p,0,hsa-miR-10393-5p,0,hsa-miR-101-5p,0,hsa-miR-10394-3p,0,hsa-miR-10392-5p,0,hsa-miR-10393-5p,0,hsa-miR-10392-3p,0,hsa-miR-10393-5p,0,hsa-miR-10394-3p,0,hsa-miR-10394-5p,0
40,hsa-miR-10226,0,       0,hsa-miR-10401-3p,hsa-miR-10394-5p,0,hsa-miR-10394-3p,0,hsa-miR-10394-5p,0,hsa-miR-10392-3p,0,hsa-miR-10393-5p,0,hsa-miR-10395-3p,0,hsa-miR-10394-3p,0,hsa-miR-10392-5p,0,hsa-miR-10396a-3p,0,hsa-miR-10393-3p,0,hsa-miR-10394-3p,0,hsa-miR-10226,0,hsa-miR-10394-5p,0,hsa-miR-10393-3p,0,hsa-miR-10394-3p,0,hsa-miR-10392-5p,0,hsa-miR-10394-3p,0,hsa-miR-10394-5p,0,hsa-miR-10395-3p,0
41,hsa-miR-10392-3p,0,       0,hsa-miR-10401-5p,hsa-miR-10395-3p,0,hsa-miR-10394-5p,0,hsa-miR-10395-3p,0,hsa-miR-10392-5p,0,hsa-miR-10394-3p,0,hsa-miR-10395-5p,0,hsa-miR-10394-5p,0,hsa-miR-10393-3p,0,hsa-miR-10396a-5p,0,hsa-miR-10393-5p,0,hsa-miR-10394-5p,0,hsa-miR-10392-3p,0,hsa-miR-10395-3p,0,hsa-miR-10393-5p,0,hsa-miR-10394-5p,0,hsa-miR-10393-3p,0,hsa-miR-10394-5p,0,hsa-miR-10395-3p,0,hsa-miR-10395-5p,0
42,hsa-miR-10392-5p,0,       0,hsa-miR-105-3p,hsa-miR-10395-5p,0,hsa-miR-10395-3p,0,hsa-miR-10395-5p,0,hsa-miR-10393-3p,0,hsa-miR-10394-5p,0,hsa-miR-10396a-3p,0,hsa-miR-10395-3p,0,hsa-miR-10393-5p,0,hsa-miR-10396b-3p,0,hsa-miR-10394-3p,0,hsa-miR-10395-3p,0,hsa-miR-10392-5p,0,hsa-miR-10395-5p,0,hsa-miR-10394-3p,0,hsa-miR-10395-3p,0,hsa-miR-10393-5p,0,hsa-miR-10395-3p,0,hsa-miR-10395-5p,0,hsa-miR-10396a-3p,0
